language_from_uast,code_to_comment_ratio
c,5.113333333333333
c_sharp,4.293333333333333
cpp,3.807142857142857
d,2.725
dart,3.341666666666667
go,3.2583333333333333
java,4.283333333333333
js,2.816666666666667
nim,3.95
objc,3.025
ocaml,2.9583333333333335
perl,
py,3.210526315789474
rust,3.9
scala,3.5
typescript,2.591666666666667
